Date;Open;High;Low;Close;Volume
2017.07.27  08:00:00;145.882;146.243;145.758;146.112;44856
2017.07.27  12:00:00;146.111;146.545;146.106;146.508;44569
2017.07.27  16:00:00;146.508;146.542;145.451;145.452;48827
2017.07.27  20:00:00;145.455;145.539;145.114;145.384;40341
2017.07.28  00:00:00;145.384;145.440;144.995;145.070;19844
2017.07.28  04:00:00;145.071;145.393;145.041;145.221;34370
2017.07.28  08:00:00;145.224;145.624;145.088;145.612;39876
2017.07.28  12:00:00;145.615;145.759;145.257;145.338;42478
2017.07.28  16:00:00;145.336;145.633;145.106;145.426;53072
2017.07.28  20:00:00;145.424;145.584;145.275;145.282;27242
2017.07.31  00:00:00;145.226;145.398;144.876;145.015;16741
2017.07.31  04:00:00;145.013;145.149;144.941;145.041;22824
2017.07.31  08:00:00;145.041;145.268;144.930;144.955;32559
2017.07.31  12:00:00;144.952;145.142;144.804;144.960;35153
2017.07.31  16:00:00;144.959;145.823;144.946;145.620;47467
2017.07.31  20:00:00;145.622;145.674;145.405;145.644;34040
2017.08.01  00:00:00;145.643;145.699;145.545;145.591;24236
2017.08.01  04:00:00;145.595;145.810;145.392;145.654;30016
2017.08.01  08:00:00;145.655;146.100;145.433;146.059;34443
2017.08.01  12:00:00;146.058;146.150;145.797;146.058;34546
2017.08.01  16:00:00;146.058;146.106;145.450;145.664;50362
2017.08.01  20:00:00;145.662;145.779;145.579;145.746;20480
2017.08.02  00:00:00;145.599;145.965;145.599;145.878;16419
2017.08.02  04:00:00;145.880;146.453;145.817;146.353;33536
2017.08.02  08:00:00;146.353;146.741;146.174;146.564;30640
2017.08.02  12:00:00;146.564;146.697;146.376;146.584;33720
2017.08.02  16:00:00;146.586;146.606;145.902;146.159;44191
2017.08.02  20:00:00;146.158;146.459;146.043;146.431;23633
2017.08.03  00:00:00;146.379;146.609;146.321;146.423;16303
2017.08.03  04:00:00;146.423;146.480;146.077;146.316;23967
2017.08.03  08:00:00;146.317;146.786;146.227;146.631;29976
2017.08.03  12:00:00;146.634;146.712;144.781;144.887;42617
2017.08.03  16:00:00;144.890;145.049;144.435;144.702;48103
2017.08.03  20:00:00;144.709;144.735;144.378;144.503;27548
2017.08.04  00:00:00;144.505;144.577;144.363;144.542;15046
2017.08.04  04:00:00;144.542;144.732;144.522;144.663;21575
2017.08.04  08:00:00;144.662;144.910;144.544;144.728;25577
2017.08.04  12:00:00;144.727;145.259;144.511;144.869;32429
2017.08.04  16:00:00;144.868;144.890;144.329;144.405;48255
